azimuth,elevation,efficiency
5,68,0.662884292931925
5,69,0.664083301088144
5,70,0.665383071480634
5,71,0.66682017385458
5,72,0.668217601242274
5,73,0.669621021390579
5,74,0.670771326931137
5,75,0.671929890959949
5,76,0.67330331978206
5,77,0.674560927174986
5,78,0.675569198020528
5,79,0.67667310315948
5,80,0.677905890936296
5,81,0.678840850848426
5,82,0.679838528474332
5,83,0.680601009073681
5,84,0.68156804265326
5,85,0.682421876467004
5,86,0.683307325739896
5,87,0.683954759397564
5,88,0.684444025881668
5,89,0.684919125251184
5,90,0.685479945316224
6,0,0.027903418733136
6,1,0.088529995481398
6,2,0.148120446481523
6,3,0.19758735722784
6,4,0.239351205724674
6,5,0.274730998303869
6,6,0.305004359191399
6,7,0.331347062182148
6,8,0.354553190567554
6,9,0.375207495312026
6,10,0.393306655631653
6,11,0.409995113049842
6,12,0.425266350755323
6,13,0.439480982756933
6,14,0.452357220208335
6,15,0.464260710699718
6,16,0.47545832369143
6,17,0.486055263721513
6,18,0.495984635898042
6,19,0.505343369437971
6,20,0.514091906643911
6,21,0.522486437983688
6,22,0.530271923331218
6,23,0.53751750507695
6,24,0.544286992218872
6,25,0.550263500534184
6,26,0.556103129897108
6,27,0.561693062254535
6,28,0.56676087272396
6,29,0.571663430801724
6,30,0.576058172979286
6,31,0.580523428196189
6,32,0.584509801982671
6,33,0.588252198047905
6,34,0.591704118805172
6,35,0.595207476880221
6,36,0.598616570094528
6,37,0.601868250631894
6,38,0.604665318336247
6,39,0.607638554369531
6,40,0.610335855833203
6,41,0.61318342064046
6,42,0.615665887389686
6,43,0.618173784289029
6,44,0.620475543969392
6,45,0.622909798696534
6,46,0.624979649196617
6,47,0.627067183294175
6,48,0.629401145866808
6,49,0.63123305439671
6,50,0.633218076408337
6,51,0.635216403581958
6,52,0.637062342596715
6,53,0.638647888615311
6,54,0.640643900770259
6,55,0.642130119349427
6,56,0.644014950555064
6,57,0.645711477403599
6,58,0.647481886232976
6,59,0.649264197103785
6,60,0.650682892542601
6,61,0.652222845401819
6,62,0.6535944977165
6,63,0.655172106035545
6,64,0.6567158596492
6,65,0.658086196602815
6,66,0.659883396278657
6,67,0.661166338070701
6,68,0.662737105453859
6,69,0.664265503671324
6,70,0.665657100687554
6,71,0.667055509941414
6,72,0.668098318041943
6,73,0.669511645891403
6,74,0.670784363700931
6,75,0.67213747777116
6,76,0.673248421554181
6,77,0.674459999502114
6,78,0.675392226320488
6,79,0.676601733449132
6,80,0.6776997371782
6,81,0.678607797131795
6,82,0.679679091653272
6,83,0.680751733852665
6,84,0.681616659534958
6,85,0.682418651541201
6,86,0.682872547435426
6,87,0.683903146409111
6,88,0.684509552187174
6,89,0.684822368364235
6,90,0.685479945316224
7,0,0.027924565429081
7,1,0.088255206243215
7,2,0.14796407586153
7,3,0.197625308216482
7,4,0.239397848204372
7,5,0.274806565553269
7,6,0.30499933006685
7,7,0.331476387933484
7,8,0.354783140816935
7,9,0.375338034301195
7,10,0.393546087659711
7,11,0.410152708215091
7,12,0.425409739525887
7,13,0.43946029002149
7,14,0.452519619277471
7,15,0.464390505633685
7,16,0.475520198824279
7,17,0.486044532526502
7,18,0.496080715787266
7,19,0.505391649328112
7,20,0.514200727820561
7,21,0.522558503592114
7,22,0.530304639692249
7,23,0.537500103976846
7,24,0.544244424464444
7,25,0.550374269370875
7,26,0.55631705142817
7,27,0.561718977119338
7,28,0.566887967922605
7,29,0.571736728772079
7,30,0.576193483162616
7,31,0.58058237924082
7,32,0.584499495450258
7,33,0.5883879912628
7,34,0.591855600341671
7,35,0.595358219710654
7,36,0.598625929915219
7,37,0.60196449169854
7,38,0.604839012811547
7,39,0.607730352728603
7,40,0.610418186642893
7,41,0.613040654676618
7,42,0.615860676044789
7,43,0.618263161645294
7,44,0.620436599653866
7,45,0.622808966131091
7,46,0.625067790175468
7,47,0.62715363364576
7,48,0.629220893703463
7,49,0.63129979542661
7,50,0.633309638546562
7,51,0.635283470306574
7,52,0.637112301560353
7,53,0.639072685010186
7,54,0.640561849123502
7,55,0.642422030724136
7,56,0.644149065399329
7,57,0.645690717164653
7,58,0.647401431866916
7,59,0.64906835114142
7,60,0.650705979350629
7,61,0.652185135937524
7,62,0.653749474403243
7,63,0.655135492451914
7,64,0.656900353750308
7,65,0.658258857337801
7,66,0.660167518994081
7,67,0.661174362886426
7,68,0.662581656163799
7,69,0.66402570823044
7,70,0.665520818810093
7,71,0.666964390288708
7,72,0.66819012717714
7,73,0.669613472687478
7,74,0.670791538959612
7,75,0.6722660896461
7,76,0.67342789992574
7,77,0.674763429645803
7,78,0.675591246587836
7,79,0.676637650473989
7,80,0.677713619424809
7,81,0.678752565898873
7,82,0.679660679466236
7,83,0.680732847867313
7,84,0.68132938193593
7,85,0.682267359802522
7,86,0.682948439565404
7,87,0.683795107060071
7,88,0.684438176480614
7,89,0.685070520422568
7,90,0.685479945316224
8,0,0.027918900219161
8,1,0.088093454984225
8,2,0.147954015495915
8,3,0.19774559956503
8,4,0.239539198111003
8,5,0.275056078060775
8,6,0.305193097409199
8,7,0.33161616451885
8,8,0.35485231588172
8,9,0.375376108323408
8,10,0.393589790735966
8,11,0.410196288997559
8,12,0.425462683353528
8,13,0.439682554584992
8,14,0.452632443669564
8,15,0.464517488484487
8,16,0.475715837315368
8,17,0.486225142540723
8,18,0.49606943477548
8,19,0.505675916781941
8,20,0.514293170948541
8,21,0.522745584692973
8,22,0.530451622304274
8,23,0.537510158510487
8,24,0.544268002717849
8,25,0.550620669987092
8,26,0.556375691771511
8,27,0.561916720000786
8,28,0.566980998588656
8,29,0.571758502529123
8,30,0.576291488498184
8,31,0.580546822973084
8,32,0.584559558419597
8,33,0.588339549060248
8,34,0.591861315070396
8,35,0.595445929496327
8,36,0.598654988607067
8,37,0.601814723271368
8,38,0.604853151952931
8,39,0.607603120260009
8,40,0.610580040651657
8,41,0.613312259261663
8,42,0.615870940631006
8,43,0.618289487422895
8,44,0.620694549667952
8,45,0.622854364353317
8,46,0.625057716262949
8,47,0.627207658268162
8,48,0.629356210277944
8,49,0.631237030090124
8,50,0.633574086869657
8,51,0.635261324047817
8,52,0.637169606188911
8,53,0.638970029212516
8,54,0.640568848286808
8,55,0.642326570604788
8,56,0.644149867358555
8,57,0.645797872301871
8,58,0.647429620063887
8,59,0.648866685572384
8,60,0.6505372623029
8,61,0.65218046048607
8,62,0.653728942135522
8,63,0.655234377998622
8,64,0.656816145959957
8,65,0.658496894369923
8,66,0.65988747736453
8,67,0.661276294442833
8,68,0.662591812682693
8,69,0.664295659844179
8,70,0.665560405831266
8,71,0.666826957887814
8,72,0.668273266956307
8,73,0.669661534569432
8,74,0.670799034004252
8,75,0.672150249478343
8,76,0.67336380404627
8,77,0.674679030668016
8,78,0.67555988180002
8,79,0.67679917853424
8,80,0.677818591068688
8,81,0.678995397998518
8,82,0.679799251914302
8,83,0.68068502590805
8,84,0.681621900029255
8,85,0.682380558337328
8,86,0.683059467975988
8,87,0.683849654659034
8,88,0.684369610104496
8,89,0.684956027587314
8,90,0.685479945316224
9,0,0.027939941953114
9,1,0.088129462487504
9,2,0.148089677452555
9,3,0.19783081391642
9,4,0.239650197992801
9,5,0.275144759399314
9,6,0.305355744033127
9,7,0.331676396182548
9,8,0.355071302407395
9,9,0.375562175964579
9,10,0.3936307290604
9,11,0.410424766542743
9,12,0.42561531908252
9,13,0.439835611379424
9,14,0.452514250031952
9,15,0.464606713435266
9,16,0.475834269933133
9,17,0.486272914119576
9,18,0.496227679867976
9,19,0.505537236260284
9,20,0.514458028729792
9,21,0.522783428072696
9,22,0.530386094079977
9,23,0.537746154288645
9,24,0.544339873980125
9,25,0.550553396626612
9,26,0.556408310332804
9,27,0.561826386675743
9,28,0.567085066163302
9,29,0.571903537197686
9,30,0.576445979615949
9,31,0.580746652349071
9,32,0.584758771964572
9,33,0.588368383811347
9,34,0.592157615862886
9,35,0.595468698374353
9,36,0.598912909839312
9,37,0.602048600252406
9,38,0.60482626790601
9,39,0.607836026279627
9,40,0.610567449162696
9,41,0.61341946089016
9,42,0.616046120882652
9,43,0.618218596218024
9,44,0.62067323347138
9,45,0.622850893012343
9,46,0.625238368152973
9,47,0.62753310827742
9,48,0.629246297175866
9,49,0.63151605909891
9,50,0.633355691054094
9,51,0.635457901341138
9,52,0.637292857817833
9,53,0.639074026446998
9,54,0.640782308671024
9,55,0.642670151360716
9,56,0.64408206121993
9,57,0.645819497126143
9,58,0.647457170902655
9,59,0.649010094205788
9,60,0.650684193403394
9,61,0.652153214841283
9,62,0.653508963248869
9,63,0.655391492160626
9,64,0.656797107320804
9,65,0.658508119897608
9,66,0.659766234318974
9,67,0.661229463643134
9,68,0.663007863020148
9,69,0.664169563896177
9,70,0.665560614170398
9,71,0.666975392705265
9,72,0.668164917850377
9,73,0.669641809008348
9,74,0.67084235534837
9,75,0.672104175330394
9,76,0.673359536842684
9,77,0.674375860261379
9,78,0.675689522151613
9,79,0.676694384751192
9,80,0.67775130601084
9,81,0.678742072287194
9,82,0.679690161496501
9,83,0.680644298159626
9,84,0.681511593167426
9,85,0.682566263688819
9,86,0.682702289161346
9,87,0.683936038827239
9,88,0.684440440174321
9,89,0.685053026555711
9,90,0.685479945316224
10,0,0.027907845523087
10,1,0.088409424773584
10,2,0.148211309919607
10,3,0.198044012307442
10,4,0.239795901223161
10,5,0.275344708986524
10,6,0.305569535276106
10,7,0.331934593806035
10,8,0.355231176328452
10,9,0.375682888814029
10,10,0.393953446973823
10,11,0.410572748705757
10,12,0.425816616204652
10,13,0.439930179104287
10,14,0.452764796714256
10,15,0.464737193390524
10,16,0.475990694130927
10,17,0.486472095354249
10,18,0.496323016926442
10,19,0.505752164706927
10,20,0.514474753143334
10,21,0.522825114083795
10,22,0.530649169348595
10,23,0.537831181525546
10,24,0.544508217552669
10,25,0.550800580984879
10,26,0.556656149889533
10,27,0.562157548394189
10,28,0.567286293783197
10,29,0.572059469582963
10,30,0.576522155882017
10,31,0.580843274950536
10,32,0.584872905260288
10,33,0.588616235079719
10,34,0.592058171307624
10,35,0.595733053242773
10,36,0.59888480450232
10,37,0.601888081113955
10,38,0.60497142050249
10,39,0.608044257869609
10,40,0.610754040680711
10,41,0.613303151680531
10,42,0.615940066154177
10,43,0.618430397049346
10,44,0.620719139052435
10,45,0.623074123020659
10,46,0.625370645479295
10,47,0.627303689740068
10,48,0.629307595558313
10,49,0.631390359907109
10,50,0.633333528358878
10,51,0.635503886893951
10,52,0.637467012664217
10,53,0.638968126649549
10,54,0.640687766901324
10,55,0.642539474004402
10,56,0.64406380411705
10,57,0.645886822056602
10,58,0.647454621331621
10,59,0.649105518029437
10,60,0.650818374924002
10,61,0.652492753923392
10,62,0.65395099833199
10,63,0.655339215427135
10,64,0.656899804165177
10,65,0.658484759276548
10,66,0.65989532794378
10,67,0.661492935291194
10,68,0.662781561501966
10,69,0.664189203341558
10,70,0.665641417811218
10,71,0.66699021327327
10,72,0.668344994706613
10,73,0.669751244880001
10,74,0.670697497861471
10,75,0.672201300531362
10,76,0.673502653949593
10,77,0.674776169764548
10,78,0.675851266409434
10,79,0.67675447825875
10,80,0.677716295564623
10,81,0.67884463693209
10,82,0.679856638505378
10,83,0.680723259762815
10,84,0.681476288983204
10,85,0.682438097073701
10,86,0.683327590516879
10,87,0.683740884002387
10,88,0.684241561717468
10,89,0.685063768722761
10,90,0.685479945316224
11,0,0.027928852915509
11,1,0.088554841191403
11,2,0.148267605761771
11,3,0.198024570109139
11,4,0.239862415825039
11,5,0.275442725902904
11,6,0.305644470017436
11,7,0.33211891423902
11,8,0.355355180664278
11,9,0.375913053480008
11,10,0.394041257494143
11,11,0.410660206018795
11,12,0.425861706282525
11,13,0.440052263078192
11,14,0.453009566203357
11,15,0.464916243254368
11,16,0.475994824850948
11,17,0.486724448156602
11,18,0.496512495000523
11,19,0.505740848560348
11,20,0.514579390497532
11,21,0.522781709194803
11,22,0.530653554325661
11,23,0.537974902183207
11,24,0.544774808692437
11,25,0.550811237217746
11,26,0.556872951442695
11,27,0.562245789307779
11,28,0.56733270628387
11,29,0.572189170116016
11,30,0.576855096948998
11,31,0.580867516720907
11,32,0.584999098681264
11,33,0.588804317483614
11,34,0.592299951751498
11,35,0.595714702113742
11,36,0.598993931558459
11,37,0.602123264800694
11,38,0.605119860293587
11,39,0.607905925865987
11,40,0.610821747715907
11,41,0.613501424667897
11,42,0.615944735636864
11,43,0.618505594533196
11,44,0.620991963954499
11,45,0.623171698515275
11,46,0.625359454998777
11,47,0.627519944505599
11,48,0.629474076851049
11,49,0.631675675199381
11,50,0.633514071630807
11,51,0.635448661902182
11,52,0.637176651368392
11,53,0.639186559074975
11,54,0.640848546418045
11,55,0.642520125382171
11,56,0.644204303635413
11,57,0.645953722080469
11,58,0.647629397270202
11,59,0.648992338714882
11,60,0.650829711301341
11,61,0.65218629609491
11,62,0.654019037824579
11,63,0.6553721274305
11,64,0.656866367908539
11,65,0.658365451998065
11,66,0.659943716823996
11,67,0.66146510804841
11,68,0.662882247206497
11,69,0.664348011272539
11,70,0.665681023994738
11,71,0.666938704842077
11,72,0.668371086584723
11,73,0.669814412799964
11,74,0.670725590954499
11,75,0.672259151250061
11,76,0.673670110994809
11,77,0.674665080957322
11,78,0.675746607557978
11,79,0.676756443270217
11,80,0.677670282392578
11,81,0.678885206835956
11,82,0.679819074101505
11,83,0.680655777460035
11,84,0.681717617007362
11,85,0.682179399495178
11,86,0.682997076715625
11,87,0.683847771420215
11,88,0.684504272730892
11,89,0.6847761269406
11,90,0.685479945316224
12,0,0.02789027898211
12,1,0.08843331431237
12,2,0.148445529244902
12,3,0.198010072436044
12,4,0.239845808671801
12,5,0.275444163609931
12,6,0.305632707877024
12,7,0.3321413729138
12,8,0.355471771552741
12,9,0.375945488860189
12,10,0.394043921210714
12,11,0.410843708340571
12,12,0.426107688829184
12,13,0.440096104458271
12,14,0.453075475584923
12,15,0.4649300529324
12,16,0.4760288759318
12,17,0.486657270890996
12,18,0.496502013008356
12,19,0.505697314510454
12,20,0.514583946842046
12,21,0.522920127680226
12,22,0.530761552757275
12,23,0.53793383547068
12,24,0.544649137670252
12,25,0.550959644239368
12,26,0.556907703105979
12,27,0.562243719918565
12,28,0.567287870879832
12,29,0.572255350976981
12,30,0.576698037098448
12,31,0.580959904122247
12,32,0.585046178563854
12,33,0.588836340631628
12,34,0.592440375760684
12,35,0.595850016428972
12,36,0.59900403297251
12,37,0.602185333553007
12,38,0.605227118682416
12,39,0.608101505976642
